%  Stalagmite, KM-A, Krem Mawmluh, India (Berkelhammer et al., 2012)
%
%  Removed all data point older than 9000 years B.P., since record is not reliable there (M. Berkelhammer, priv. comm., via S.F.M. Breitenbach) (2/29/2013).
%
%  Age years BP     d18O
%
7571     -7.449698
7577     -7.288935
7583     -7.363727
7589     -7.231192
7595     -7.345708
7601       -6.9158
7607     -7.364689
7613     -7.372592
7619     -7.369056
7625     -7.210292
7631     -7.351829
7637     -7.399025
7643     -7.399245
7649     -7.339971
7655     -7.088166
7661      -7.21565
7667     -7.270967
7673     -7.186582
7679     -7.493983
7685     -6.950389
7691     -7.515428
7697     -7.336947
7703     -7.294949
7709     -7.461369
7715     -7.094138
7721     -7.011382
7727     -7.278784
7733     -7.241975
7739      -7.33093
7745     -7.220483
7751     -7.241195
7757     -7.050608
7763     -7.343889
7769     -7.455556
7775      -7.34852
7781     -7.375414
7787      -7.31931
7793     -7.040683
7799     -7.005468
7805     -7.198467
7811     -6.813554
7817     -6.490051
7823     -6.534118
7829     -6.699604
7835      -6.54986
7841     -6.339357
7847     -6.438513
7853     -6.561628
7859     -6.533272
7865     -6.555052
7871     -6.579123
7877      -6.56441
7883     -6.620976
7889     -6.723416
7895       -6.8584
7901     -6.798193
7907     -6.768711
7913     -6.962029
7919     -6.891355
7925      -6.95471
7931     -6.843805
7937     -6.870111
7943     -6.940908
7949     -7.003275
7955     -6.998914
7961     -7.064279
7967     -7.001692
7973     -7.045823
7979     -6.831084
7985     -6.966903
7991     -6.954902
7997     -7.249537
8003     -7.286145
8009     -7.383415
8015     -7.398854
8021     -7.263359
8027     -7.430105
8033     -7.468583
8039     -7.484476
8045     -7.483384
8051     -7.455947
8057     -7.414983
8063     -7.475864
8069     -7.384702
8075      -7.31489
8081     -7.207648
8087     -7.046964
8093     -7.043628
8099     -7.130232
8105     -7.022021
8111     -7.013821
8117     -7.109282
8123     -7.131943
8129     -7.165982
8135     -7.198043
8141     -7.144526
8147     -7.124851
8153     -7.124453
8159     -7.047386
8165     -7.084655
8171     -7.087739
8177     -7.136088
8183      -6.99192
8189     -6.843368
8195     -6.867908
8201     -6.753143
8207     -6.650693
8213     -6.981423
8219     -6.707813
8225     -6.782435
8231     -6.488795
8237      -6.45192
8243     -6.093448
8249     -6.430135
8255     -6.540016
8261     -6.540601
8267     -6.517595
8273     -6.504292
8279      -6.49364
8285     -6.709391
8291     -6.292876
8297      -6.53595
8303     -6.993864
8309     -6.761517
8315     -6.421522
8321     -6.805526
8327     -7.075762
8333     -7.012901
8339     -7.127642
8345     -7.249816
8351     -7.543471
8357     -7.739619
8363     -7.413551
8369     -7.206489
8375     -7.297153
8381     -7.299083
8387      -7.35831
8393     -7.407159
8399     -7.214476
8405     -7.083928
8411     -7.311592
8417     -7.716762
8423     -7.194978
8429     -7.124749
8435      -6.85251
8441     -7.118128
8447     -7.062954
8453     -6.747123
8459      -6.81754
8465     -6.859537
8471     -6.980004
8477     -6.971515
8483     -6.891887
8489     -6.829512
8495      -6.83573
8501      -6.90603
8507     -6.936734
8513     -6.810983
8519     -6.725642
8525     -6.830241
8531     -6.960925
8537     -6.616178
8543     -6.505625
8549     -6.881848
8555     -6.628896
8561     -6.564996
8567     -6.559164
8573     -6.505239
8579     -6.331272
8585     -6.157306
8591     -6.047813
8597     -6.197448
8603     -6.322807
8609     -6.300142
8615     -6.277477
8621     -6.256865
8627     -6.272731
8633     -6.260841
8639      -6.24895
8645      -6.23706
8651     -6.225169
8657      -6.31891
8663     -6.424173
8669     -6.394016
8675     -6.338091
8681     -6.282167
8687     -6.359207
8693     -6.481357
8699      -6.41576
8705     -6.263282
8711     -6.110805
8717     -6.135178
8723     -6.283413
8729     -6.327278
8735     -6.276265
8741     -6.225252
8747     -6.211905
8753     -6.249188
8759     -6.282795
8765     -6.309905
8771     -6.337014
8777     -6.358679
8783     -6.365067
8789     -6.371456
8795     -6.377844
8801     -6.384233
8807     -6.364444
8813     -6.101688
8819     -5.849624
8825     -5.935105
8831     -6.020586
8837     -6.106067
8843     -6.206551
8849     -6.308154
8855     -6.256811
8861     -6.181336
8867     -6.203265
8873     -6.250033
8879       -6.2968
8885     -6.300443
8891     -6.285284
8897     -6.270124
8903      -6.34849
8909     -6.490251
8915     -6.504772
8921     -6.406068
8927     -6.385065
8933     -6.454419
8939     -6.523772
8945     -6.536796
8951     -6.450663
8957      -6.36453
8963     -6.308493
8969     -6.337044
8975      -6.35706
8981     -6.342057
8987     -6.332138
8993     -6.356338
8999     -6.380537
